Name,Street,Suburb,City,Phone,Notes
PlaceMakers Silverdale,47 Tavern Rd,Silverdale,Auckland,094249000,1 of 1
PlaceMakers Takanini,354 Porchester Rd,Takanini,Auckland,092370020,1 of 1
PlaceMakers Taupo,66 Crown Rd,,Taupo,073760220,1 of 1
PlaceMakers Te Anau (Depot),116 Sandy Brown Rd,,Te Anau,032497774,1 of 1
PlaceMakers Te Kuiti,Te Kumi Rd,,Te Kuiti,078788149,1 of 1
PlaceMakers Te Rapa,10 Te Kowhai Rd East,Te Rapa,Hamilton,078500190,1 of 1
PlaceMakers Thames,79 Kopu Rd,,Thames,078680130,1 of 1
PlaceMakers Timaru,88-94 Hilton Hwy,,Timaru,036874035,1 of 1
PlaceMakers Twizel (Depot),1 Ostler Rd,,Twizel,034353133,1 of 1
PlaceMakers Waiheke,102 Ostend Rd,Waiheke,Auckland,093720060,1 of 1
PlaceMakers Wairarapa (Depot),72 Ngaumutawa Rd,,Masterton,063777504,1 of 1
PlaceMakers Wairau Park,3 Link Dr,Glenfield,Auckland,094445155,1 of 1
PlaceMakers Wanaka,8 Connell Terrace,,Wanaka,034430080,1 of 1
PlaceMakers Warkworth,64 Morrison Dr,Warkworth,Auckland,094258444,1 of 1
PlaceMakers Westgate,547- 557 Don Buck Rd,Massey,Auckland,098156800,1 of 1
PlaceMakers Whakatane,133 Commerce St,,Whakatane,073060320,1 of 1
PlaceMakers Whanganui,Cnr Wilson & Guyton St,,Whanganui,063491919,1 of 1
PlaceMakers Whangarei,18 Kioreroa Rd,,Whangarei,094703970,1 of 1
PlaceMakers Whitianga,24 Joan Gaskell Dr,,Whitianga,078672000,1 of 1
PlaceMakers Winton,139 Florence Rd,,WINTON,03236-8262,1 of 1
Pokeno Bulding Supplies,23 Carr St,Tuakau 2121,Auckland,92336658,1 of 1
Residential Building Supplies Limited,35 Wookey Ln,Kumeu,Auckland,094122964,1 of 1
Russell Hammer Hardware,York St,,Russell,094037889,1 of 1
Sellwood Products,3/75 Apollo Dr,Rosedale,Auckland,094770820,1 of 1
Sticks Building Supplies,8 John Glenn Ave,Rosedale,Auckland,094156570,1 of 1
TimberWorld Birkdale,2 Bay Park Pl,Birkdale,Auckland,094818000,1 of 1
TimberWorld East Tamaki,329 East Tamaki Rd,East Tamaki,Auckland,092748009,1 of 1
Tumu Dannevirke,198 High St,,Dannevirke,063744260,1 of 1
Tumu Gisborne,356 Childers Rd,,Gisborne,068689599,1 of 1
Tumu Hastings,1215 Maraekakaho Rd,,Hastings,068730999,1 of 1
Tumu Havelock North,34 Havelock Rd,,Havelock North,068729600,1 of 1
Tumu Masterton,337 Ngaumutawa Rd,,Masterton,063706060,1 of 1
Tumu Napier,55 Thames St,,Napier,068726222,1 of 1
Value Building Supplies Inglewood,11 James St,,Inglewood,0800245535,1 of 1
Value Building Supplies New Plymouth,1 Katere Rd,,New Plymouth,067597435,1 of 1
Warehouse Building Supplies,32 Henderson Valley Rd,Henderson,Auckland,098388868,1 of 1
Whitianga Hardware,67 Cook Dr,,Whitianga,078665767,1 of 1
Wiri Timber Mt Roskill,50 Frost Rd,Mt Roskill,Auckland,096204069,1 of 1
Woodmart Limited,571 Gt South Rd,Penrose,Auckland,095256293,1 of 1
